KEY,VALUE
req_item_use_handler_penis_genitals_must_not_be_strapon,陰莖不能是假陽具
req_shop_listing_shop_owns_one_of_item,商店中已售罄
req_shop_listing_can_afford,金幣不足
req_shop_listing_quest_condition,任務條件未滿足
req_entity_attack_is_not_disposed,目標已死亡
req_entity_attack_is_combatant,必須是戰鬥單位
req_entity_attack_is_lust_target,無法成為性攻擊的目標
req_entity_attack_entity_attack_has_hostility,因敵對關係無法選定目標
req_entity_attack_entity_attack_not_timed_out,仍在冷卻中
req_entity_attack_entity_attack_max_uses,使用次數過多
req_entity_attack_entity_attack_resource_cost,資源不足
req_entity_interaction_has_x_of_item,你必須擁有至少 {0} {1}(s)
req_entity_interaction_quest_condition,任務條件未滿足
req_equip_handler_owns_one_of_item,你的物品欄中已無剩餘
req_equip_handler_crotch_not_blocked,胯部被陰莖或假陽具阻塞
req_genital_definitions_owns_one_of_item,你的物品欄中已無剩餘
req_genital_definitions_crotch_not_blocked,胯部被陰莖或假陽具阻塞
req_genital_definitions_must_have_penis,必須擁有陰莖
req_genital_definitions_must_have_vagina,必須擁有陰道
req_genital_definitions_must_have_anus,必須擁有肛門
req_genital_definitions_must_have_skill,必須擁有 %s 技能
req_genital_definitions_must_not_have_skill,不得擁有 %s 技能
req_quick_attack_scan_fail,找不到有效目標
req_sex_scene_protototype_has_watched,尚未找到
req_sex_scene_protototype_has_genitals,需要 %s
req_skill_buy_show_level,必須至少達到 %s 等級
req_skill_buy_buy_level,必須至少達到 %s 等級
req_skill_buy_buy_cost,技能點不足
req_skill_buy_cannot_be_bought,無法購買
req_skill_buy_under_development,開發中
req_skill_buy_must_have_skill,必須擁有 %s 技能
req_skill_buy_skill_tree_investment,需要在 %s 技能樹中投入 %s 點技能點
req_skill_buy_skill_tree_prerequisite,需要 %s 技能
req_skill_use_max_uses_per_sleep,每次休息只能使用 %s 次
req_skill_use_is_not_on_cooldown,冷卻中，還剩 %s 回合
req_skill_use_is_player_standing_on_item,你沒有站在物品上
req_skill_use_has_valid_weapon_attack_target,範圍內沒有有效目標
req_skill_use_has_adjacent_toggleable_door,範圍內沒有門
req_skill_use_has_adjacent_loot_container,範圍內沒有可搜刮的容器
req_skill_use_has_adjacent_talk_target,範圍內沒人想交談
req_skill_use_has_generic_interact,無事可做
req_skill_use_weapon_is_melee,必須使用近戰武器
req_skill_use_weapon_is_ranged,必須使用遠程武器
req_skill_use_weapon_is_magic,必須使用魔法武器
req_skill_use_req_skill_use_has_shield,必須裝備盾牌
req_skill_use_not_has_affliction,不得患有 %s 負面狀態
req_skill_use_map_allows_teleport,環境中有東西阻止傳送
req_skill_use_stat_has_minimum,必須擁有至少 {0} {1}
req_dialogue_set_quest_quest_condition,任務條件未滿足
req_fluids_event_is_cum,必須是精液
req_fluids_event_is_eggs,必須是卵
req_fluids_event_is_vaginal,必須是陰道內射精
req_fluids_event_is_anal,必須是肛內射精
req_fluids_event_is_vaginal_or_anal,必須是肛內或陰道內射精
req_fluids_event_mpreg_enabled,必須啟用男性懷孕(MPreg)
req_fluids_event_not_has_vagina,不得擁有陰道
req_fluids_event_not_yet_implemented,尚未實裝
req_fluids_event_womb_slot_available,子宮內沒有可用空間
req_fluids_event_anus_slot_available,肛門內沒有可用空間
req_fluids_event_npc_slot_available,已達到最大懷孕愛侶數
req_fluids_event_npc_not_pregnant,%s 已經懷孕
req_pregnancy_slot_player_has_penis,需要陰莖或假陽具
req_pregnancy_slot_player_not_has_penis,需要沒有陰莖或假陽具
req_pregnancy_slot_player_has_vagina,需要陰道
req_pregnancy_slot_player_not_has_vagina,需要沒有陰道
req_pregnancy_slot_player_has_penis_and_vagina,需要陰莖與陰道
req_pregnancy_slot_must_have_skill,必須擁有 %s 技能
req_pregnancy_slot_mpreg_enabled,必須啟用男性懷孕(MPreg)
req_pregnancy_slot_mpreg_not_enabled,必須禁用男性懷孕(MPreg)
hostilities_ally,盟友
hostilities_friendly,友好
hostilities_neutral,中立
hostilities_hostile,敵對
ui_message_debug,訊息 %s
ui_message_magic_missile_miss,所有<skill_i(magic_missile)>魔法飛彈都未命中！
ui_message_song_of_pain_miss,<skill_i(song_of_pain)>痛苦之歌未擊中任何目標。
ui_message_whirlwind_blade_miss,<skill_i(whirlwind_blade)>旋風斬未擊中任何目標。
ui_message_line_attack_miss,你的攻擊沒有命中任何目標。
ui_message_affliction_cannot_gain,{0} 無法獲得另一層<affliction_i({1})>，已達到最大層數。
ui_message_affliction_lose,{0}失去了<affliction_i({1})>異常狀態。
ui_message_affliction_lose_stacks,{0}失去了{1}層<affliction_i({2})>異常狀態。
ui_message_affliction_gain_stacks,{0}獲得了{1}層<affliction_i({2})>異常狀態。
ui_message_attack_summon,{0}召喚了{1}！
ui_message_attack_mighty_punch,{0}以一記重拳將{1}擊退！
ui_message_attack_air_shredder,{0}用一陣狂風將{1}吹退！
ui_message_attack_bone_toss,{0}朝著{1}甩頭！
ui_message_attack_disengage,{0}向後跳躍脫離了戰鬥。
ui_message_attack_charge,{0}衝向{1}，拉近了距離。
ui_message_attack_seduce,{0}用身體誘惑{1}，使其<stat_i(lust)>提升。
ui_message_attack_musk,{0}散發出淫靡的氣味，使{1}的<stat_i(lust)>提升。
ui_message_attack_hypnosis,{0}的雙眼閃爍著催眠的光芒，使{1}的<stat_i(lust)>提升。
ui_message_attack_web_bomb,{0}製造了一個將在2回合後爆炸的蛛網炸彈！
ui_message_attack_web_bomb_explode,{0}爆炸了。
ui_message_attack_speech,{0}發出尖嘯，驚醒了附近的怪物！
ui_message_attack_default,{0}說了什麼
ui_message_door_unlock_key,你用<item_i({1})>解鎖了{0}。
ui_message_door_unlock_direction,你解鎖了%s，現在可以從雙側操作它。
ui_message_stat_gain,獲得{0}點<stat_i({1})>，總計{2}點。
ui_message_stat_gain2,獲得{0}點<stat_i({1})>，總計{2}點。
ui_message_item_gain,獲得{0}個<item_i({1})>，總計{2}個。
ui_message_item_gain2,獲得{0}個<item_i({1})>，總計{2}個。
ui_message_item_lose2,失去了{0}個<item_i({1})>，總計{2}個。
ui_message_skill_gain,獲得技能%s！
ui_message_exp_gain_entity_slain,+{0}點經驗值（{1}）
ui_message_exp_gain_combat_avoided,+%s點經驗值（避免戰鬥）
ui_message_exp_gain,+%s點經驗值
ui_message_level_gain,你的<stat_i(level)>已提升至%s級！你可以在玩家選單中分配屬性點。
ui_message_loot_gain,獲得：%s。
ui_message_lust_lose,性行為緩解了你的<stat_i(lust)>。
ui_message_skill_cannot_perform,無法執行<skill_i({0})>：{1}
ui_message_entity_interact_fail,無法對{1}使用{0}：{2}。
ui_message_entity_try_interact_fail,無法與%s互動：無有效互動方式。
ui_message_item_cannot_use,無法{0}<item_i({1})>：{2}。
ui_message_fluids_event_seed_fail,種子活性不足
ui_message_fluids_event_impregnated,目標已受孕
ui_message_fluids_event_title,授孕事件
ui_message_penetration_event_player,{0}的{1}被{2}侵入。{3}失去了他們的{4}童貞！
ui_message_penetration_event_npc,{0}用他們的{2}侵入了{1}。{3}失去了他們的{4}童貞！
ui_message_quest_completed,任務完成<quest_i(%s)>！
ui_message_quest_started,任務開始<quest_i(%s)>。
ui_message_item_consume_grow_dick,突然間，你長出了一個<genitals_i(%s)>！
ui_message_item_consume_lose_cock,你的<genitals_i(%s)>掉下來了！你獲得了一個<item_i(desecrated_sausage_and_meatballs)>。
ui_message_item_consume_grow_vagina,突然間，你長出了一個<genitals_i(%s)>！
ui_message_item_consume_lose_vagina,你的<genitals_i(%s)>掉下來了！
ui_message_item_consume_grow_anus,突然間，你長出了一個<genitals_i(%s)>！
ui_message_item_consume_lose_anus,你的<genitals_i(%s)>恢復成了<genitals_i(anus_default)>！
ui_message_item_consume_breasts_grow,你的胸部變大了！
ui_message_item_consume_breasts_shrink,你的胸部縮小了！
ui_message_item_consume_flub,**你喝下了<item_i(%s)>，但什麼也沒發生。 
ui_message_set_quest,任务<quest_i({0})>已更新！
ui_message_give_birth,<npc_i({0})>生下了<offspring({1})>。你现在拥有{2}个孩子！
game_updates_patchnotes,更新日志：
game_updates_title_update_pregnanbee,孕蜂记 
game_updates_date_update_pregnanbee,03/02/25
game_updates_description_update_pregnanbee,"
Greetings Patreons! 
Here we are at last, the pregnancy update. 
There is a lot to cover, most of it technical, so I will dive right into it. 

Pregnancy systems are in, including the art for the player belly, and various species of offspring. 
I have written both a bunch of generic, and specific pregnancy scenes, but there is always more to be added. 
Alas, that will have to wait until some future patch. 

NPCs will *not* have updated portraits depending on the pregnancy state. 
Doing so is technically possible, but the amount of artwork required is far out of the scope of a single update. 
Perhaps I will trickle some in over future updates, if I can find the time. 

The genitals system has also gotten an upgrade. 
You can now see what kind of junk you have in the menu, and they are able to add to your stats like equipment. 
I also added a host of potions that can give you special types of genitals, which I will use for some fun shenanigans in a later update, but we will get to that when we get to that. 

The main plot line has been expanded slightly, adding a bunch of content with Bazel the Bee, and expanding the South Palewood map area. 
The update also adds a heap of passives, an enchantment system, line attacks, buff potions, and many small quality of life tweaks, but if I start discussing each one, we will be here all day. 

Back to work for me, the next update is not gonna be small either, I can already tell.

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.

With love,
Nranchs
"
game_updates_patchnotes_update_pregnanbee,"[ul]Added pregnancy
Added pregnancy slot display to character menu
Added make_pregnant cheatcode and relevant helper functions
Added pregnant variants of the player avatar
Added hover-over tooltips to the character stats
Added a genitals page to the character sheet
Added temporary boon potions for pregnancy stats
Added stats to the player genitals
Added 6 special types of genitals
Added about ten genital altering potions
Added about a dozen passive skills
Added 5 piercing-line attack skills
Added tier 1 item enchantments
Added enchanted items to drop tables
Added pregnancy and breast milk conditions to the afflictions UI on NPCs
Added 7 custom pregnancies
Added roll_loot_table, and list_loot_tables cheat-codes
Added a shop dialogue to Sparktail
Added tier 3 armor crafting resources and recipes
Added about a dozen armor pieces and a bunch of weapons
Added screech attack to certain mobs that will wake up nearby enemies
Added the embedded player portrait in various menu's on the mobile versions
Added ability to save and load data from the device clipboard
Added <if_party> text parser tag to handle dialogue lines that only trigger if party members are present. 
Added <if_map> text parser tag to handle dialogue lines that only trigger in certain locations. 
Added more dialogue and a sex scene with Bazel the been
Added a Patreon exclusive sex scene with the female order of purity mook south of the church
Added a submission sex scene for all Nettle Fairies
Added some more of the South Palewoods, including some new generic mobs
Split up Garter's store pages into body mods and other
Non-combatant NPCs now display pregnancy stats if inspected 
Entities that are named NPC now display correct pregnancy stats, instead of the default ones
Observe now shows afflictions if the entity targeted can have them
Afflictions with a maximum of 1 stack do no longer display the count in the name
Fixed various memory leaks in older code
Fixed NPCs wrongly displaying Pregnancy Speed
Fixed Affliction stats not being applied after a character reset
Fixed missing Jack of all Trades skill description
Fixed blink not functioning correctly if you target an enemy instead of an empty tile
Fixed targeted teleports warping you onto into enemy tile, instead of next to the enemy
Fixed broken references to some genital combinations in sex scenes
Fixed some incorrect penetration references with the Order of Purity sex scene
Fixed that joining order of purity giving you 100 guilders instead of costing 100 guilders
Fixed post wank master fight mooks using the blue sprite
Various typos have been fixed due to the generous contributions of RadTad[/ul]
"
game_updates_patchnotes2_header_update_pregnanbee,Patch Notes v0.7.1:
game_updates_patchnotes2_update_pregnanbee,"[ul]Updated engine to Godot 4.4
Fixed translation loader
Fixed Titlecard typo
Fixed missing Oder of Purity male text 
Fixed new penis types using condom fluid descriptors[/ul]
"
game_updates_patchnotes3_header_update_pregnanbee,Patch Notes v0.7.2:
game_updates_patchnotes3_update_pregnanbee,"[ul]Fixed a large number of integer numbers displaying incorrectly as floats 
Fixed various places where hint and other text tags had stopped parsing properly[/ul]
"
game_updates_patchnotes4_header_update_pregnanbee,Patch Notes v0.7.3:
game_updates_patchnotes4_update_pregnanbee,"[ul]Fixed formatting in entity name not rounded
Fixed formatting on damage number not rounded
Fixed inspect on mobs with no NpcPrototype causes crash
Fixed APK not installing on Android armeabi-v7a architecture
Fixed spacing bug on hostile/friendly text on entities
Fixed lust stats displaying on some non-lust targets[/ul]
"
game_updates_title_update_order_of_purity,The No-Wank-Master
game_updates_date_update_order_of_purity,04/11/24
game_updates_description_update_order_of_purity,"
Alright, here we are again! 
It has been a while, as I had promised an update to Rogschard, which ended up taking a month or two before I could get back to Lordling. 
But here we are, I bring you a content packed update, starting with a new dungeon, the Order of Purity church! 

The Order of Purity church is located in Darkhill, towards the north-east. 
In this place you will be able to advance Genevave's Royal Ghost quest, and farm for ingredients for the bone armor. 
Besides that, it contains new Purity Mook enemies (along with some undead). 
As they are humanoids, they got dedicated win and submission sex scenes, and some dialogue besides.
There is also a lot of story and incidental dialogue, and a strange encounter to close out the dungeon, so plenty to do. 

The townsfolk of Darkhill have been given some love too. 
Sparktail the Innkeep has a new repeatable quest for you (and a Patreon exclusive sex scene to go along with it). 
Garter the Lamia has a substantial heap of new dialogue, for those willing to be her submissive pet, together with a sex scene.
Some new skills have been added too, together with a bunch of general engine work. 
I hope you like it.

Love,
Nrnachs

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.

With love,
Nranchs
"
game_updates_patchnotes_update_order_of_purity,"[ul]Added internal code and art for the offspring mechanics (pregnancy not yet done, but will come soon(tm))
Added dialogue parser function to reference diffrent breast types
Added 5 new player skills
Added engine support for player combat teleport skill types
Added engine support for skills that push/pull the player
Added engine support for skills that require wielding a shield
Added engine support for conditional quest triggers during dialogue
Added a new dungeon, the Order of Purity church
Added 3 new enemy types (Order of Purity units)
Added lv. 5 loot container type and chests
Added 2 Order of Purity sex scenes (+variants)
Added various lessens with Garter and a sex scene
Added an optional (and repeatable) Sparktail quest
Added a patreon only sex scene with Sparktail
Added various new pieces of incidental dialogue with Order of Purity mooks
Added the no-wank-master pesuedo bossfight
Fixed character moving because of plugged in joysitcks
Upgraded the game engine version to Godot 4.3[/ul]
"
game_updates_title_update_submissive_woes,"Submissive Woes, Cauldrons, and Angels
"
game_updates_date_update_submissive_woes,09/05/24
game_updates_description_update_submissive_woes,"
Greetings everyone, this month I have quite the heap of additions for you. 
Namly, I bring you angels and snakes!
Also, map targeting is finally finished, meaning you can enjoy more sensible mouse controls on desktop devices. 
With it, you can now target empty spaces using AEO spells.

Furthermore, I have started work on a system that will allow you to import fan translations. 
This was a hell of a task, as it involved isolating every piece of text in the game, and reworking all dynamic messages. 
Some bits of text are still missing, but that should be fixed with the next release.

Lastly, we got a new shop in Darkill, a whole host of new items, various body altering concoctions, and a new NPC. 
A significant amount of story interactions have been added to Alice the Angel, and of course, I have made some new sex scenes.

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.

With love,
Nranchs
"
game_updates_patchnotes_update_submissive_woes,"[ul]Added map-targeting system on desktop devices
Added hotkeys for various map actions
Added ability for AOE skills to target non occupied tiles (using map-targeting)
Added a quit button to the main menu on desktop devices
Added navigation compass scale slider
Added 3 pieces of fetishwear equipment
Added massive breasts variants for all torso clothing
Added massive breasts chest option for characters (can only be accessed through potions and skills)
Added 4 bodymod potions
Added shop interface
Added Garter the Alchemist, plus a large amount of dialogue
Added Heaven's Draft Quest
Added a bunch of Alice the Office angel dialogue
Added 3 sex scenes
Magic missile now fires 1 additional bolts
Changed Investigate into Look and replaced the icon with an eye to differentiate it from the Inspect skill
Afflictions now display in the reverse order that they were obtained
Inventory next/previous page buttons no long reset the scroll position
Boss stats now reset after leaving their arenas
Old sex scenes now have custom text for having none or both genitalia
Fixed inventory page not clamping properly when changing item category
Fixed Order of Purity mook blocking the alchemist shop's dialogue from potentially triggering twice
Fixed pregnancy stats displaying on non-lust targets
Fixed wandering NPCs blocking the way, they now swap places with the player
Fixed broken Magic Missile particle effect
Fixed Health Flask and Life stat colors to better match the healthbar
Fixed autosaves displaying in wrong order
Various typos have been fixed due to the generous contributions of Night, Simsim05, and RadTad[/ul]
"
game_updates_patchnotes2_header_update_submissive_woes,Patch Notes v0.5.1:
game_updates_patchnotes2_update_submissive_woes,"[ul]Stats reset now clears hotbar bindings
Fixed Snipe skill not working
Fixed various text-parser problems in Javelinrain sex scene
Fixed some wrongly referenced text entries
Fixed weapon rendering in front of helmet on portrait
Fixed a saving issue in Garter's Shop on web builds
Various typos have been fixed due to the generous contributions of RadTad[/ul]
"
game_updates_title_update_hot_and_binding,Hot and Binding
game_updates_description_update_hot_and_binding,"
Alright, with a slight delay, I managed to get v0.4.0 done! 
This update introduces a wide host of quality of life features, together with a new heap of content. 
Firstly, a hotbar has been added, where you can bind skills, items, and actions. 
This will allow you to do most interactions without entering the menus. 
I also made it so that you can hold the movement button down so that you can move more then one tile easily. 
Also, I added a generic interact button (bound to E on desktop), which you can use to do a variety of actions like picking up items, talking to NPCs, and opening doors. 

As for the content, this updates introduces a bunch of temporary buff skills, together with the system to support afflictions and conditions. 
Some new consumables have also been added, together with tweaks to the loot tables of various mobs. 
Lastly, I added a new mini-dungeon south of Darkhill, along with a story quest for Mork. 
I hope you will like it~!

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.

With love,
Nranchs
"
game_updates_patchnotes_update_hot_and_binding,"[ul]Added a hotbar
Added afflictions and temporary ailments
Added afflictions side panel
Added ale and wine
Added drunk affliction
Added 4 buff skills
Added Homeward teleport skill
Added a couple of AOE skills
Added loot/talk/toggle-door interactions as hotbar bindable actions
Added Interact (generic) action with keybind
Added optional Make Me a Bow crafting tutorial quest
Added Darkwoods path south of Darkhill (which is mostly empty for now, but I needed to add it so you could reach the Sunlit Clearings)
Added Sunlit Clearings mini dungeon
Added the ex-captain of the royal guard, Fiveleg the Centaur
Added Mork story quest: Mork's Mentor
Added Mork optional quest: Mork's drunken night
Added Mork and Fiveleg sex scenes
Added a Patreon exclusive Mork sex scene
Added that holding the move keys/button will move you repeatedly
Added better collision shapes for the move arrows
Added a pet collar (though you won't be able to buy one until the next update)
The text parser can now handle various new edge cases, like detecting if Genevave is present, and using the dynamic descriptors for your genitals outside of sex scenes
Optimized parsing of text optional text segments in the text parser
Expanded Darkhill map
Split placeholder skill tree into 2 skill trees
Tweaked the margins on the text display when placing items
Split Use Skill menu into a detailed and compact version
Fixed end-of-turn hp regeneration for all entities
Fixed level-up automatic hp/flux/lust not working
Fixed touch dragging affecting the dialogue panel even while scrolling outside of it
Fixed canceling out of skills still causing them to be flagged as used for x-per-day skills
Fixed Meditate skill adding lust instead of reducing it
Various typos have been fixed due to the generous contributions of RadTad[/ul]
"
game_updates_title_update_swordcraft,Skillcraft
game_updates_date_update_swordcraft,04/03/24
game_updates_description_update_swordcraft,"
Finally, after two months of hard work, version 3 is finished! 
I have already been keeping you from playing this build for too long, so let me keep it short.
This update adds a bunch of fundamental features, like leveling up, skill trees, crafting, and choosing what genital you use in sex scenes. 
Also, the first part of the pregnancy and virginity systems has been added, which will display messages when a potential pregnancy or loss of virginity occurs. 
You can't get preggers quite yet, but the events that trigger it are in, meaning I won't have to go back and fix the sex-scenes once it does get added. 

Mobs now respawn after sleeping in a bed, and healing items have been limited for balance reasons. 
The -Sparktail's Spooky Shed- quest has been added, continuing the main quest-line, and there is also an optional quest where you hunt some leafbugs. 
Lastly, a new NPC has been introduced, who runs the daycare next to the Lightn Inn. 
She will take care of your offspring (once you are able to have any, in a future update).

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.

With love,
Nranchs
"
game_updates_patchnotes_update_swordcraft,"[ul]Added a system to respawn mobs when entering a map (after a certain time passed, or you slept)
Added messages when pregnancy events are triggered
Added messages when virginity events are triggered
Added player leveling
Added Sparktail's spooky shed map
Added optional sparktail quest - Pest Control
Added a placeholder skilltree
Added over a dozen skills
Added species skills
Added a scene gallery
Added genital selection to sex-scenes
Added dildos and condoms
Added two weapon/armor sets
Added various crafting materials
Added a crafting system
Added Nettle fairy (male/female) enemies
Added Nettle fairy (male/female) sex scenes
Added Scrii bossfight
Added Scrii sex scene
Added option to drink from wells
Added hotkeys for Do Nothing, Attack Nearest, and Pickup
Updated the player portrait penis to look better
Reworked all stats of all entities in the game
Reworked all loot tables
Changed the healing consumables to a number of automatically refilling flasks
Fixed the autosave system
Fixed messages now propely scroll off the screen
Various typos have been fixed due to the generous contributions of RadTad[/ul]
"
game_updates_title_update_darkhill,Darkhill
game_updates_date_update_darkhill,05/02/24
game_updates_description_update_darkhill,"
Good morning everyone, it has been a scant three weeks since the first release, but it is already time for Lordling of Heart's second update~ 
The first part of this update will focus on a set of low-level systems improvements. 
Things like the game scaling better on larger monitors, sharing some settings between saves, and adding some additional options to change the screen layout manually. 
This kind of stuff takes a large chunk of the development time, and isn't very flashy, but it is crucial to making sure the game works on as many devices as possible. 

On the features side, a new side panel has been added, displaying information on the map location and the currently tracked quest. 
This also adds quest markers, so you can still find your way when the world gets big (which sounds trivial, but is a feature which I have been working on for months). 
The patreon build will come with a cheatcode panel accessible through the menu, and I spend a bit of time writing a tool for compiling various builds of the game at once (I am now up to 15 of them, and it was getting silly making them by hand).

The rest of the time has been spend on pure content generation. 
Various new NPCs have been added, with accompanying map sprites and portraits. 
The map now extends to the town of Darkhill and the Lightn Inn, were you can find a bunch of dialogue and a new animated sex-scene.
When dying, you will now be kicked into purgatory first, before directly re-spawning. 

That will be it for this patch. 
Next update will focus on combat, adding in more of the core feature set. 
Look forward to that!

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.

With love,
Nranchs
"
game_updates_patchnotes_update_darkhill,"[ul]Added option to enable mobile layout manually
Added Locations right side panel
Added Quest markers
Added menu to track a quest
Added maps for Darkhill
Added Sparktail the innkeep conversations and sex scene
Added various generic NPCs
Added Afterlife map for when you die
Added Alice the Office Angel dialogues
Added portraits for Alice the Office Angel, and the Order of Purity Censor
Added Cheatcode Console
Made center panel margins respond to screen size
Full-screen setting is now saved in desktop builds
Overlay messages now support icons and colors
Javelinrain's leap now produces dust clouds instead of a laser
Various typos have been fixed due to the generous contributions of RadTad[/ul]
"
game_updates_title_update_prototype,Prototype
game_updates_date_update_prototype,15/01/24
game_updates_description_update_prototype,"
Alright, here it finally is, the first prototype of the new project! 
The name of the game is <loh(Lordling of Hearts)>.
I am not certain if this name will stick around for the first release, but it is good enough for now. 

The big plan for this game is to make a text-RPG like <rog(Rogschard)>, but with more modern polish. 
With <loh(Lordling of Hearts)>, I am hoping to add a lot of the requested features that were impossible to add to <rog(Rogschard)> due to the engine limitations and technical debt, while trimming some of the unneeded fat. 
There will be a lot more art/portraits in this game, almost all of them animated. 
Npc's will have expressions and nude sprites, and pregnancy will be displayed on the player portrait (once it is in). 
I will also add more options for player responses, to allow for more interactivity in the dialogue. 
The map in <loh(Lordling of Hearts)> is fully rendered, and a lot of the combat info will be displayed on there. 
This means there will be a lot less halting of the flow of the gameplay with text popups.

Other fancy features are still being worked on in the background.
I will tell you about them once they are closer to completion. 

On a small unfortunate note, dedicated IOS builds didn't work out, and there is currently a problem with Godot 4 web builds on Mac/IOS. 
I made a dedicated MacOs build, but I am afraid IOS support will be lacking for the foreseeable future. 
The issue with the Godot engine web builds will likely be resolved someday(tm), but there is no known timeline at the moment. 
I have heard word that the IOS web builds might work on a Firefox browser, so you can try that if you can't wait.

And as per usual, special thanks to my Naughty Weredog tier patrons~: <c(hot_pink)>aarlin</c>, <c(hot_pink)>FadeSeeker</c>, and <c(hot_pink)>Jeremiah Mccollum</c>.
"
game_updates_patchnotes_prototype,"[ul]Added base systems
Added prologue scenes
Added introductory quest[/ul]
"
game_updates_patchnotes2_header_update_prototype,Patch Notes v0.1.1:
game_updates_patchnotes2_update_prototype,"[ul]Fixed Marcarba prologue using wrong text color in one instance
Fixed restarting after returning to main menu crashing the game
Fixed download-save not working on web builds
Fixed upload-save not working, by virtue of it never having been implemented, apparently[/ul]
"
console_command_help_help,"Displays help information on a given cheatcode, or displays all available cheatcodes.
"
console_command_help_message,Help: %s
console_command_help_fail1,help: could not find a command with name '%s'.
console_command_time_help,Displays the current ingame time.
console_command_time_message,The current tick is %s.
console_command_get_stat_help,Get the value of the stat for the player character. stat_ids can be found with the list_stats cheatcode.
console_command_get_stat_message,Player stat {0} has a value of: {1}.
console_command_get_stat_fail1,"get_stat: not enough arguments, expected 1 got %s.
"
console_command_get_stat_fail2,get_stat: Unknown stat %s.
console_command_set_stat_help,Sets the value of the stat for the player character. stat_ids can be found with the list_stats cheatcode.
console_command_set_stat_message,Set player stat {0}to value of: '{1}'.
console_command_set_stat_fail1,"get_stat: not enough arguments, expected 2 got %s.
"
console_command_set_stat_fail2,get_stat: Cannot parse float '%s'.
console_command_current_location_help,Displays the current player tile position.
console_command_current_location_message,You are currently at the Location '%s'.
console_command_place_item_help,"Creates a item_container, and places it at the player's feet. item_ids can be found with the list_items cheatcode. Example: 'place_item stick 4'.
"
console_command_place_item_message,Placed {0} of item '{1}'.
console_command_place_item_fail1,"place_item: not enough arguments, expected 2 got %s.
"
console_command_place_item_fail2,place_item: Unknown item %s.
console_command_place_item_fail3,place_item: Cannot parse amount %s.
console_command_place_stat_help,"Creates a stat_container, and places it at the player's feet. stat_ids can be found with the list_items cheatcode. Example: 'placed_stat guilders 4'.
"
console_command_place_stat_message,Placed {0} of stat '{1}'.
console_command_place_stat_fail1,"place_stat: not enough arguments, expected 2 got %s.
"
console_command_place_stat_fail2,place_stat: Unknown stat %s.
console_command_place_stat_fail3,place_stat: Cannot parse amount %s.
console_command_make_enchanted_item_help,Creates a unique item and gives it to the player. item_ids can be found with the list_items cheatcode. enchantment_id can be found with the list enchantments cheatcode. Example: 'make_enchanted_item stick strength2'.
console_command_make_enchanted_item_message,Made unique item '%s'.
console_command_make_enchanted_item_fail1,"make_enchanted_item: not enough arguments, expected 2 got %s.
"
console_command_make_enchanted_item_fail2,make_enchanted_item: could not find item with id '%s'.
console_command_make_enchanted_item_fail3,make_enchanted_item: could not find enchantment with id '%s'.
console_command_goto_help,Teleports the party to given map and spawn.
console_command_goto_enchanted_item_fail1,"goto: not enough arguments, expected 2 got %s.
"
console_command_goto_enchanted_item_fail2,goto: could not find map with id '%s'.
console_command_set_style_help,Applies the style with the given 'style_id' to the player.
console_command_set_style_message,Set portrait style for slot '{0}' to '{1}'.
console_command_set_style_fail1,"set_style: not enough arguments, expected 1 got %s.
"
console_command_set_style_fail2,set_style: could not find Style with id '%s'.
console_command_push_dialogue_help,Push the Dialogue with the given dialogue_id onto the stack.
console_command_push_dialogue_fail1,"push_dialogue: not enough arguments, expected 1 got %s.
"
console_command_push_dialogue_fail2,push_dialogue: could not find Dialogue with id '%s'.
console_command_spawn_entity_help,Spawns an entity with the given entity_id at the players position.
console_command_spawn_entity_message,Spawned entity({0}) with instance_id {1}.
console_command_spawn_entity_fail1,"spawn_entity: not enough arguments, expected 1 got %s.
"
console_command_spawn_entity_fail2,spawn_entity: Unknown EntityPrototype %s.
console_command_set_has_penis_help,Sets the player's penis state. Example 'set_has_penis true'.
console_command_set_has_penis_message,Set player has_penis to %s.
console_command_set_has_penis_fail1,"set_has_penis: not enough arguments, expected 1 got %s.
"
console_command_set_has_vagina_help,Sets the player's vagina state. Example: 'set_has_vagina true'.
console_command_set_has_vagina_message,Set player has_vagina to %s.
